{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1416996531000L, 'id': 4652, 'name': 'Tako'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 9, 'summonerLevel': 30, 'revisionDate': 1416905798000L, 'id': 9178, 'name': 'mrdotn'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 10, 'summonerLevel': 30, 'revisionDate': 1403156550000L, 'id': 1249, 'name': 'crazybeast17'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1390922571000L, 'id': 8552, 'name': 'Lowki'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1416996531000L, 'id': 4652, 'name': 'Tako'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 9, 'summonerLevel': 30, 'revisionDate': 1416905798000L, 'id': 9178, 'name': 'mrdotn'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 10, 'summonerLevel': 30, 'revisionDate': 1403156550000L, 'id': 1249, 'name': 'crazybeast17'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1390922571000L, 'id': 8552, 'name': 'Lowki'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 580, 'summonerLevel': 30, 'revisionDate': 1397634094000L, 'id': 5041, 'name': 'Omnius'} 'mostUsedChampion': Shaco  'mostUsedChampion': Shaco  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 522, 'summonerLevel': 30, 'revisionDate': 1416201314000L, 'id': 72347, 'name': 'Gozer'} 'mostUsedChampion': Shaco  'mostUsedChampion': Shaco  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 741, 'summonerLevel': 30, 'revisionDate': 1417075855000L, 'id': 8720, 'name': 'Vaudevi77ain'} 'mostUsedChampion': Braum  'mostUsedChampion': Braum  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 584, 'summonerLevel': 30, 'revisionDate': 1416836197000L, 'id': 8609, 'name': 'Dyvith'} 'mostUsedChampion': Braum  'mostUsedChampion': Braum  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 546, 'summonerLevel': 30, 'revisionDate': 1417025606000L, 'id': 9565, 'name': '2nd Fiddle'} 'mostUsedChampion': Lux  'mostUsedChampion': Lux  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 673, 'summonerLevel': 30, 'revisionDate': 1416029339000L, 'id': 4367, 'name': 'EsNFish'} 'mostUsedChampion': Tristana  'mostUsedChampion': Tristana  'mostUsedChampion': Tristana 
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1415623565000L, 'id': 4308, 'name': 'Hasjustbeenpwned'} 'mostUsedChampion': Ezreal  'mostUsedChampion': Ezreal  'mostUsedChampion': Ezreal 
{'profileIconId': 713, 'summonerLevel': 30, 'revisionDate': 1416952972000L, 'id': 8831, 'name': 'FishCrazy'} 'mostUsedChampion': Ezreal  'mostUsedChampion': Ezreal  'mostUsedChampion': Ezreal 
{'profileIconId': 513, 'summonerLevel': 30, 'revisionDate': 1413021796000L, 'id': 85375, 'name': 'DusanTheSerb'} 'mostUsedChampion': Ezreal  'mostUsedChampion': Ezreal  'mostUsedChampion': Ezreal 
{'profileIconId': 659, 'summonerLevel': 30, 'revisionDate': 1415880264000L, 'id': 465926, 'name': 'Lore Boar'} 'mostUsedChampion': Caitlyn  'mostUsedChampion': Caitlyn  'mostUsedChampion': Caitlyn 
{'profileIconId': 512, 'summonerLevel': 30, 'revisionDate': 1415447376000L, 'id': 23890, 'name': 'Snakeeyes'} 'mostUsedChampion': Caitlyn  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Caitlyn 
{'profileIconId': 10, 'summonerLevel': 30, 'revisionDate': 1402508126000L, 'id': 143732, 'name': 'darklingfeather'} 'mostUsedChampion': Caitlyn  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Caitlyn 
